15:17:29:72,83,0,35.144476027,33.4097765386
15:17:42:68,82,0,35.144476027,33.4097765386
15:17:42:89,82,0,35.144476027,33.4097765386
15:17:47:07,82,0,35.144476027,33.4097765386
15:17:48:54,81,0,35.144476027,33.4097765386
15:17:48:74,81,1,35.144476027,33.4097635746
15:17:51:62,81,1,35.144476027,33.4097635746
15:17:51:83,81,1,35.144476027,33.4097635746
15:17:56:01,81,1,35.144476027,33.4097635746
15:17:56:06,81,2,35.144476027,33.4097117186
15:17:59:81,80,2,35.144476027,33.4097117186
15:18:00:03,80,2,35.144476027,33.4097117186
15:18:04:22,80,2,35.144476027,33.4097117186
15:18:05:74,79,2,35.144476027,33.4097117186
15:18:05:94,79,3,35.1445378767,33.4097376466
15:18:10:46,79,3,35.1445378767,33.4097376466
15:18:10:78,79,3,35.1445378767,33.4097376466
15:18:14:87,79,3,35.1445378767,33.4097376466
15:18:16:81,78,3,35.1445378767,33.4097376466
15:18:16:92,78,4,35.1444657188,33.4097895026
15:18:21:43,78,4,35.1444657188,33.4097895026
15:18:21:73,78,4,35.1444657188,33.4097895026
15:18:25:99,77,4,35.1444657188,33.4097895026
15:18:27:76,77,4,35.1444657188,33.4097895026
15:18:27:89,77,5,35.1444863353,33.4097246826
15:18:32:24,77,5,35.1444863353,33.4097246826
15:18:32:34,77,5,35.1444863353,33.4097246826
15:18:32:44,77,5,35.1444863353,33.4097246826
15:18:36:54,76,5,35.1444863353,33.4097246826
15:18:38:97,76,5,35.1444863353,33.4097246826
15:18:39:22,76,6,35.1444657188,33.4097895026
15:18:43:23,75,6,35.1444657188,33.4097895026
15:18:43:42,75,6,35.1444657188,33.4097895026
15:18:47:54,75,6,35.1444657188,33.4097895026
15:18:49:55,75,6,35.1444657188,33.4097895026
15:18:49:66,75,7,35.1444657188,33.4097635746
15:18:53:10,74,7,35.1444657188,33.4097635746
15:18:53:45,74,7,35.1444657188,33.4097635746
15:18:57:09,74,7,35.1444657188,33.4097635746
15:18:58:62,74,7,35.1444657188,33.4097635746
15:18:58:67,74,8,35.144476027,33.4097635746
15:19:02:49,73,8,35.144476027,33.4097635746
15:19:02:70,73,8,35.144476027,33.4097635746
15:19:06:99,73,8,35.144476027,33.4097635746
15:19:08:23,73,8,35.144476027,33.4097635746
15:19:08:43,73,9,35.144476027,33.4096987545
15:19:12:95,72,9,35.144476027,33.4096987545
15:19:13:16,72,9,35.144476027,33.4096987545
15:19:17:02,72,9,35.144476027,33.4096987545
15:19:19:54,72,9,35.144476027,33.4096987545
15:19:19:69,72,10,35.1444657188,33.4098154306
15:19:27:51,71,10,35.1444657188,33.4098154306
15:19:27:69,71,10,35.1444657188,33.4098154306
15:19:31:19,70,10,35.1444657188,33.4098154306
15:19:33:51,70,10,35.1444657188,33.4098154306
15:19:33:62,70,11,35.1444657188,33.4098024666
15:19:36:05,70,11,35.1444657188,33.4098024666
15:19:36:13,70,11,35.1444657188,33.4098024666
15:19:36:20,70,11,35.1444657188,33.4098024666
15:19:40:35,69,11,35.1444657188,33.4098024666
15:19:41:61,69,11,35.1444657188,33.4098024666
15:19:41:91,69,12,35.144476027,33.4098024666
15:19:44:88,69,12,35.144476027,33.4098024666
15:19:45:12,69,12,35.144476027,33.4098024666
15:19:49:15,68,12,35.144476027,33.4098024666
15:19:50:46,68,12,35.144476027,33.4098024666
